instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 79887 nodes",12066.0,11392.99999884458,6969.774,5096.226,0.422362506215813,0,0,1,79887,0,3320.7709999999997,3320.7709999999997,0.0000,60.037095,60.0001246,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 103898 nodes",40.0,0.9999999999990905,0.0,40.0,1.0,0,0,1,103898,0,0.0,0.0,0.0000,60.030418,60.0008375,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 148121 nodes",3.9999999999995293,1.0,0.0,3.9999999999995293,1.0,0,0,1,148121,0,0.0,0.0,0.0000,60.037053,60.0008674,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 113979 nodes",20.999999999999932,1.0,0.0,20.999999999999932,1.0,0,0,1,113979,0,0.0,0.0,0.0000,60.024325,60.0003487,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0,3175561447.5053167,3175561447.5053167,0.0000,0.017980,0.0026936,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 43754 nodes",11988623.0,11807698.0,10624280.0,1364343.0,0.11380314486492736,0,0,1,43754,0,10593526.0,10593526.0,0.0000,60.025206,60.0010827,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 72324 nodes",119.0,119.0,115.0,4.0,0.03361344537815126,1,0,1,72324,0,100.87875,100.87875,0.0000,60.031372,60.0011376,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 85681 nodes",15226.0,14393.0,11605.0,3621.0,0.23781689215815052,0,0,1,85681,0,8877.000000000002,8877.000000000002,0.0000,60.040976,60.0009771,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,0,-11980000.0,-11980000.0,0.0000,0.021536,0.0042745,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 50443 nodes",15.5,15.0,13.999999999999998,1.5000000000000018,0.0967741935483872,0,0,1,50443,0,13.0,13.0,0.0000,60.023233,60.0013344,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 95086 nodes",-41.0,-41.00000885,-43.0,2.0,0.04878048780487805,1,0,1,95086,0,-43.00000000000001,-43.00000000000001,0.0000,60.028498,60.0009963,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 70834 nodes",-15.999999999999995,-16.00000000000012,-20.0,4.000000000000005,0.25000000000000044,1,0,1,70834,0,-20.02139037433155,-20.02139037433155,0.0000,60.037480,60.0004396,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,optimal,,7615.0,7614.999999999997,7615.0,0.0,0.0,1,1,1,691,0,6875.0,6875.0,0.0000,1.381130,1.3602842,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 108115 nodes",18.000000000000018,11.0,5.593538585719025,12.406461414280994,0.6892478563489434,0,0,1,108115,0,0.0,0.0,0.0000,60.027994,60.0008015,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 72593 nodes",3791.0,3663.999999980964,3495.2202965608003,295.7797034391997,0.07802155194914262,0,0,1,72593,0,3157.377442025726,3157.377442025726,0.0000,60.033508,60.0000332,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 93731 nodes",3319.0,3252.0,3098.237262737263,220.76273726273712,0.06651483496918864,0,0,1,93731,0,2691.439468864469,2691.439468864469,0.0000,60.030481,60.0001728,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 80913 nodes",14.999999999999998,14.99999999990919,14.0,0.9999999999999982,0.06666666666666655,1,0,1,80913,0,13.244444444444444,13.244444444444444,0.0000,60.034193,60.000712,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
supportcase14,a8cb263fed392f55c3a506274e69b5172ae82d308cf05240bde0c8070df7c5f5,234,304,1129,304,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,115,0,272.00000000000017,272.00000000000017,0.0000,0.529329,0.5099345,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
supportcase16,2063fbcfb893abb2c80662ba88e473b13cbc89402aeae2c2f2b7d4c19647b663,130,319,1076,319,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,123,0,272.0,272.0,0.0000,0.549734,0.531125,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 87665 nodes",1217805.99999966,764771.99999978,315330.99999999994,902474.9999996601,0.7410663110543978,0,0,1,87665,0,28693.99999999998,28693.99999999998,0.0000,60.035856,60.0003826,078cb24,Windows-AMD64,2026-09-20T08:53:56+00:00,
