instance,instance_sha256,matches_manifest,rows,columns,nonzeros,expected_status,status,message,certificate,certificate_multipliers,our_objective,published_objective,absolute_gap,relative_gap,independently_verified,verifier_message,passed,failure_reason,wall_seconds,solver_seconds,iterations,algorithm,time_limit,git_commit,machine,timestamp_utc,solver_options
ex73a,e2a214d7912ab08038a41da81c864dbb45880fa333c34fd6dee8224d90de1c4b,1,193,211,457,infeasible,infeasible,"dual simplex: basic variable 137 is outside its bounds by 7.071e-01, far above the 1.0e-07 feasibility tolerance, and no nonbasic column can move it (the dual is unbounded), at iteration 71; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usabl",none,0,,,,,,VERIFIED: 1 checks passed,0,infeasible without a certificate (simplex-dual),0.027735,0.002268,71,simplex-dual,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
forest6,49991773ba1e514fe51542a6b528827c4656eb7c9ed53d01c4fba84be223bae3,1,66,95,210,infeasible,infeasible,"dual simplex: basic variable 0 is outside its bounds by 3.252e+05, far above the 1.0e-07 feasibility tolerance, and no nonbasic column can move it (the dual is unbounded), at iteration 76; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usable ",farkas,65,,,,,1,VERIFIED: 10 checks passed,1,,0.06522,0.0018953,76,simplex-dual,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
galenet,9725ac10aa3d4ab65d78d59b1ab005869027fd21a92bf06e06d5441101ed9e35,1,8,8,16,infeasible,infeasible,row 4 needs activity of at least 30 but the column bounds cap it at 20; proved by presolve; no machine-checkable certificate accompanies this verdict,none,0,,,,,,VERIFIED: 1 checks passed,0,infeasible without a certificate (presolve),0.029938,0.0003329,0,presolve,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
gosh,c4a6d9de8bc4bf6fba0f86a6b02c4219a03964aa7dfb2af412843e8cdf8d087a,1,3792,10733,97231,infeasible,infeasible,"phase 1 terminated with max bound violation 7.715e-02, far above the 1.0e-07 feasibility tolerance; route: the scaled attempt returned infeasible after 4.6 s of its 30 s share; neither attempt produced a usable point; the scaled attempt came closer to feasibility and is reported; no machine-checkabl",none,0,,,,,,VERIFIED: 1 checks passed,0,infeasible without a certificate (simplex-dual+primal),11.326863,11.2289366,14685,simplex-dual+primal,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
gran,86001f8d874a0d6285e9cbd9969cbc7727a388db63d812c2d37c759103fca450,1,2658,2520,20106,infeasible,infeasible,row 1612 allows activity of at most 97.7 but the column bounds force at least 97.7; proved by presolve; no machine-checkable certificate accompanies this verdict,none,0,,,,,,VERIFIED: 1 checks passed,0,infeasible without a certificate (presolve),0.044749,0.00125,0,presolve,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
greenbea,eb1f316d48e8b052ec9dab5f52e185240757b79a075ad816c5dc8d516704b6c5,1,2393,5405,30883,infeasible,infeasible,row 1491 allows activity of at most 0 but the column bounds force at least 320; proved by presolve; proof: the rows aggregate to at least 0 but the column bounds allow at most -320,farkas,1,,,,,1,VERIFIED: 4 checks passed,1,,0.053743,0.0018335,0,presolve,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
itest2,2dfb1e23f38b08ab22a8e4caa2509726228ae94f29b2e33ea3178db293a02cb0,1,9,4,17,infeasible,infeasible,row 4 allows activity of at most 2 but the column bounds force at least 13; proved by presolve; proof: the rows aggregate to at least 11 but the column bounds allow at most 0,farkas,3,,,,,1,VERIFIED: 4 checks passed,1,,0.028849,0.0001786,0,presolve,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
itest6,b1b9b939306fee4a31c942b1ff6825f156c7ac617f9475c6a0d3f8f9ff0f3498,1,11,8,20,infeasible,infeasible,row 3 needs activity of at least 50000 but the column bounds cap it at -30000; proved by presolve; proof: the rows aggregate to at least 80000 but the column bounds allow at most 0,farkas,3,,,,,1,VERIFIED: 4 checks passed,1,,0.032515,0.0001316,0,presolve,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
klein1,c092fe175732d2ed7f08e389313f0339d4ae7c4725fbbfabbd9149357199a90a,1,54,54,696,infeasible,infeasible,"dual simplex: basic variable 89 is outside its bounds by 2.056e+06, far above the 1.0e-07 feasibility tolerance, and no nonbasic column can move it (the dual is unbounded), at iteration 552; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usabl",farkas,52,,,,,1,VERIFIED: 8 checks passed,1,,0.091492,0.0072448,552,simplex-dual,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
klein2,10bf62e164037b1912c238ca22645902e2d5be76052b5d30b5fbe0c73149a2a8,1,477,54,4585,infeasible,infeasible,"dual simplex: basic variable 258 is outside its bounds by 8.818e+05, far above the 1.0e-07 feasibility tolerance, and no nonbasic column can move it (the dual is unbounded), at iteration 868; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usab",farkas,52,,,,,1,VERIFIED: 8 checks passed,1,,0.297516,0.0461988,868,simplex-dual,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
klein3,bcf82eb1810e7e57095d668ea01f4def96288114414a39d3b02c58ca3e5fd170,1,994,88,12107,infeasible,infeasible,"dual simplex: basic variable 57 is outside its bounds by 7.183e+05, far above the 1.0e-07 feasibility tolerance, and no nonbasic column can move it (the dual is unbounded), at iteration 1754; route: the scaled attempt returned infeasible after 0.1 s of its 30 s share; neither attempt produced a usab",none,0,,,,,,VERIFIED: 1 checks passed,0,infeasible without a certificate (simplex-dual),0.193394,0.1664562,1754,simplex-dual,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
mondou2,404cf5de66466aee5af2b3aabf04b2c407916baca3ae8b529e16c4132446c656,1,312,604,1208,infeasible,infeasible,"dual simplex: basic variable 296 is outside its bounds by 1.530e+04, far above the 1.0e-07 feasibility tolerance, and no nonbasic column can move it (the dual is unbounded), at iteration 163; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usab",none,0,,,,,,VERIFIED: 1 checks passed,0,infeasible without a certificate (simplex-dual),0.029837,0.0040484,163,simplex-dual,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
pang,c48dfb5d5e8066c1eed91f0fce53c8c0f85865271b5be128b92f6e487257681b,1,361,459,2648,infeasible,infeasible,"phase 1 terminated with max bound violation 2.606e+04, far above the 1.0e-07 feasibility tolerance; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usable point; the scaled attempt came closer to feasibility and is reported; no machine-checkabl",none,0,,,,,,VERIFIED: 1 checks passed,0,infeasible without a certificate (simplex-dual+primal),0.040778,0.0177855,494,simplex-dual+primal,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
pilot4i,5ff897ab3364ccd54a4c3e0146094e40fe0da4860eb8d279cffcafc05f6e2763,1,410,1000,5141,infeasible,infeasible,row 390 needs activity of at least 15.17 but the column bounds cap it at 0; proved by presolve; proof: the rows aggregate to at least 15.17 but the column bounds allow at most 0,farkas,1,,,,,1,VERIFIED: 4 checks passed,1,,0.036219,0.0004047,0,presolve,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
qual,aa2cf1e545a0a8987e3fb3894cf8a76887cb7cfe2ca4c8378e388836ed6f02b6,1,323,464,1646,infeasible,infeasible,"phase 1 terminated with max bound violation 5.125e+05, far above the 1.0e-07 feasibility tolerance; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usable point; the scaled attempt came closer to feasibility and is reported; no machine-checkabl",none,0,,,,,,VERIFIED: 1 checks passed,0,infeasible without a certificate (simplex-dual+primal),0.042232,0.0113787,332,simplex-dual+primal,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
reactor,d270bf899493f8b077552eba9f9b2ef20f81bd0769c450bb68e72c39d27ade0d,1,318,637,2420,infeasible,infeasible,row 116 needs activity of at least 0 but the column bounds cap it at -1; proved by presolve; proof: the rows aggregate to at least 0 but the column bounds allow at most -1,farkas,1,,,,,1,VERIFIED: 4 checks passed,1,,0.032175,0.0002955,0,presolve,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
refinery,8f0845239f00af000261e4c268411c4f733402c7072e32d84c023029ef69ac23,1,323,464,1626,infeasible,infeasible,"phase 1 terminated with max bound violation 5.380e+04, far above the 1.0e-07 feasibility tolerance; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usable point; the scaled attempt came closer to feasibility and is reported; no machine-checkabl",none,0,,,,,,VERIFIED: 1 checks passed,0,infeasible without a certificate (simplex-dual+primal),0.039218,0.0080774,290,simplex-dual+primal,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
vol1,03191a9b1fd6459f498a6d04ffd9914deeb482fb3e7a3ac0794f29ca317e905f,1,323,464,1646,infeasible,infeasible,"phase 1 terminated with max bound violation 1.056e+04, far above the 1.0e-07 feasibility tolerance; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usable point; the scaled attempt came closer to feasibility and is reported; no machine-checkabl",none,0,,,,,,VERIFIED: 1 checks passed,0,infeasible without a certificate (simplex-dual+primal),0.031724,0.0111458,335,simplex-dual+primal,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
woodinfe,ec14d8e7538d040194c6e48825904baa36a6b593b54f8f792cee82f5da7b2a3b,1,35,89,140,infeasible,infeasible,row 17 needs activity of at least 0 but the column bounds cap it at -5; proved by presolve; proof: the rows aggregate to at least 0 but the column bounds allow at most -5,farkas,1,,,,,1,VERIFIED: 4 checks passed,1,,0.025435,0.0003217,0,presolve,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
