instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
bnl2,eafd7e49005db1a020d420b3fbed2e124bebf46740c0b2550edcbaa17b07ad6b,2324,3489,13999,optimal,"crossover push: 639 superbasic, 239 pivots in the push; crossover: 291 pivots from the interior point's basis guess in 0.03s, after 29 interior point iterations",1811.236540358547,1811.2365404,4.145294951740652e-08,2.2886546617622845e-11,1,1,,1,0.0,0,0.41676,0.3712819,320,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
boeing1,1d9d58afaf41bad6866d5355330b261d3776ca86753d121eb9b688ee6128ab9e,351,384,3485,optimal,"crossover push: 159 superbasic, 43 pivots in the push; crossover: 66 pivots from the interior point's basis guess in 0.00s, after 20 interior point iterations",-335.21356750712687,-335.21356751,2.873150606319541e-09,8.571104766616673e-12,1,1,,1,0.0,0,0.050065,0.0228352,86,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
boeing2,e12e729b8c09bf6e6934af40b728e460d4eb360c42419b791b68fb2271ddd61a,166,143,1196,optimal,"crossover push: 24 superbasic, 19 pivots in the push; crossover: 51 pivots from the interior point's basis guess in 0.00s, after 15 interior point iterations",-315.01872801520284,-315.01872802,4.797186647920171e-09,1.5228258580282265e-11,1,1,,1,0.0,0,0.032183,0.0058143,66,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
bore3d,c7cfe0d4abd466346e3cda4e16d00651f44f3ce1da317cf583c5fed5dfc0515a,233,315,1429,optimal,"crossover push: 33 superbasic, 31 pivots in the push; crossover: 53 pivots from the interior point's basis guess in 0.00s, after 17 interior point iterations",1373.0803942084926,1373.0803942,8.49263415148016e-09,6.185096071106774e-12,1,1,,1,0.0,0,0.039329,0.0106548,70,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
brandy,56fa020b84a0a106b7883b7da006c2852449598898c41ec8dd2575151d0e0917,220,249,2148,optimal,"crossover push: 8 superbasic, 5 pivots in the push; crossover: 13 pivots from the interior point's basis guess in 0.00s, after 22 interior point iterations",1518.5098964881283,1518.5098965,1.1871634342242032e-08,7.8179499321044e-12,1,1,,1,0.0,0,0.04457,0.0136218,35,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
capri,4932bc8861fcdaf19256827b7ee229941fa6f2e84f2044b65300326c226fba78,271,353,1767,optimal,"crossover push: 39 superbasic, 18 pivots in the push; crossover: 24 pivots from the interior point's basis guess in 0.00s, after 20 interior point iterations",2690.0129137681606,2690.0129138,3.183959051966667e-08,1.1836222181806936e-11,1,1,,1,0.0,0,0.043483,0.0162692,44,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
cycle,bfc8edde30952b8dfa354679ea3a3231c2e7eb762c0ff8f0f845505741816d53,1903,2857,20720,feasible,"; crossover did not reach a vertex (numerical_error after 59686 pivots, 27.61s), the interior point's answer stands; engine reported optimal but the largest |multiplier| * slack is 5.909e-06, above the 1.0e-06 the independent verifier accepts; reporting a feasible point rather than a proof",-5.226393021840561,-5.2263930249,3.0594389244242848e-09,5.853824826889713e-10,0,1,,0,0.0,0,28.039698,27.9933628,44,ipm,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
czprob,b1f30bd25705fcc3c4f195d7e627e437788035f81fae9198e3096471b947f704,929,3523,10669,optimal,"crossover push: 68 superbasic, 30 pivots in the push; crossover: 52 pivots from the interior point's basis guess in 0.00s, after 48 interior point iterations",2185196.698856578,2185196.6989,4.342198371887207e-05,1.98709725951582e-11,1,1,,1,0.0,0,0.081204,0.0537591,100,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
d2q06c,fb1516a10aba6a4101cea6cec90c1da775ac60d2d2cd96e902bbe21a430790c9,2171,5167,32417,feasible,"; crossover did not reach a vertex (not_solved after 0 pivots, 0.01s), the interior point's answer stands; engine reported optimal but the reduced costs violate dual feasibility by 6.173e-06 (4.634e-07 relative to the terms they are computed from), above the 1.0e-07 tolerance; reporting a feasible point rather than a proof",122784.21098511503,122784.23615,0.02516488496621605,2.0495208306279024e-07,0,1,,0,0.0,0,0.648382,0.5949729,28,ipm,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
d6cube,8cd94ee7783bcbce884acde1f4769f5c79739c9460fe73cb948924e724b02dfa,415,6184,37704,optimal,"; crossover did not reach a vertex (time_limit after 371231 pivots, 119.65s), the interior point's answer stands",315.49166925783646,315.49166667,2.5878364908749063e-06,8.202551015655664e-09,1,1,,1,0.0,0,119.868319,119.827769,21,ipm,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
degen2,755cf6ca5f3a8ed1b8b68372e8d2d3b5efee784ee69b1dada923c6ff04ee0edb,444,534,3978,optimal,"crossover push: 103 superbasic, 102 pivots in the push; crossover: 641 pivots from the interior point's basis guess in 0.03s, after 15 interior point iterations",-1435.178,-1435.178,0.0,0.0,1,1,,1,0.0,0,0.075819,0.0549481,656,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
degen3,08d600688c524fea548e946af5551ef8c359c7a7e71b8841acc839b00eefadeb,1503,1818,24646,optimal,"crossover push: 301 superbasic, 300 pivots in the push; crossover: 1586 pivots from the interior point's basis guess in 0.26s, after 18 interior point iterations",-987.2940000000006,-987.294,5.684341886080801e-13,5.757496638367904e-16,1,1,,1,0.0,0,0.573223,0.5424566,1604,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
dfl001,85d47c5f8a5fc53772eabac1805b7a1af72431cad9e14d26d673043980952730,6071,12230,35632,optimal,"; crossover did not reach a vertex (time_limit after 32249 pivots, 34.57s), the interior point's answer stands",11266396.04716051,11266400.0,3.9528394900262356,3.508520459087406e-07,1,1,,1,0.0,0,77.346182,77.2932324,53,ipm,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
e226,ddf56486daea52c8592b520aeb83d329223a1b45a3e5a269bd663ef9195bd8d8,223,282,2578,optimal,"crossover push: 9 superbasic, 6 pivots in the push; crossover: 12 pivots from the interior point's basis guess in 0.00s, after 18 interior point iterations",-11.638929066370526,-18.751929066,7.112999999629473,0.379320974103213,0,1,,0,7.113,1,0.029307,0.0104219,30,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
etamacro,41701e1add7af2ed2b21a421ab7271bc867e6bc7ad98ac189748d6522e7d4926,400,688,2409,optimal,"crossover push: 79 superbasic, 48 pivots in the push; crossover: 74 pivots from the interior point's basis guess in 0.00s, after 25 interior point iterations",-755.7152328699043,-755.71521774,1.5129904340938083e-05,2.0020642678315696e-08,1,1,,1,0.0,0,0.040039,0.021332,99,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
fffff800,9d6695686c15d5f1b4f43b2ce8830c1d38df3a204717d8875f144aa21b33901e,524,854,6227,optimal,"crossover push: 62 superbasic, 29 pivots in the push; crossover: 67 pivots from the interior point's basis guess in 0.00s, after 70 interior point iterations",555679.5648174965,555679.61165,0.04683250351808965,8.427968659679302e-08,1,1,,1,0.0,0,0.167927,0.1450349,137,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
finnis,891821f24a8cd14af78b95bb460a56f0e0b5410a59ad01ab58d9daf3387e7546,497,614,2310,optimal,"crossover push: 86 superbasic, 43 pivots in the push; crossover: 85 pivots from the interior point's basis guess in 0.00s, after 27 interior point iterations",172791.06559561167,172790.96547,0.10012561167241074,5.794609191520177e-07,1,1,,1,0.0,0,0.033471,0.0157806,112,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
fit1d,59cee4fedd040a05c05d8410474ee014f42ef910e083689202be708491fe8717,24,1026,13404,optimal,"crossover push: 0 superbasic, 0 pivots in the push; crossover: 0 pivots from the interior point's basis guess in 0.00s, after 17 interior point iterations",-9146.378092420928,-9146.3780924,2.092747308779508e-08,2.2880612277754342e-12,1,1,,1,0.0,0,0.037451,0.0151462,17,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
fit1p,416e77d83daf74dee5ec1d253b77f8e252ff3e27cd123459218b02ef2be0df17,627,1677,9868,optimal,"crossover push: 0 superbasic, 0 pivots in the push; crossover: 0 pivots from the interior point's basis guess in 0.01s, after 16 interior point iterations",9146.378092420935,9146.3780924,2.0934749045409262e-08,2.288856729288785e-12,1,1,,1,0.0,0,0.717426,0.6932351,16,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
fit2d,1c16c328c0358ab175596bdd6b9a2c5d1cb4bb53b099d5d1f2a208a889c7bafc,25,10500,129018,optimal,"crossover push: 7 superbasic, 4 pivots in the push; crossover: 11 pivots from the interior point's basis guess in 0.01s, after 21 interior point iterations",-68464.2932938321,-68464.293294,1.6789999790489674e-07,2.4523731981559937e-12,1,1,,1,0.0,0,0.246489,0.1508782,32,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
fit2p,0f44de8ea974ed4cc04fb60ccd2707c2f887dc65f8b6b9bd1e9f01bb59dd4a4f,3000,13525,50284,optimal,"; no time left for crossover, the interior point's answer stands",68464.29329424458,68464.293232,6.22445804765448e-05,9.091539186071941e-10,1,1,,1,0.0,0,97.611399,97.5444679,21,ipm,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
forplan,65ec816c0b3c58ec4d61574df130a3ce464abb42f3d49de21710a787bf3cfdc7,161,421,4563,optimal,"crossover push: 20 superbasic, 9 pivots in the push; crossover: 46 pivots from the interior point's basis guess in 0.00s, after 28 interior point iterations",-664.218961272203,-664.21873953,0.0002217422030525995,3.3383912536027496e-07,1,1,,1,0.0,0,0.040509,0.0211305,74,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
ganges,f655f33ba979a59d659a8605acaf480c2fe5c610f3a50921bbcac7be40546067,1309,1681,6912,optimal,"crossover push: 285 superbasic, 241 pivots in the push; crossover: 241 pivots from the interior point's basis guess in 0.00s, after 47 interior point iterations",-109585.73612927807,-109586.36356,0.6274307219282491,5.725445224621605e-06,0,1,,0,0.0,0,0.115924,0.0947867,288,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
gfrd-pnc,d66ea78a803e91e4f38dcd74ca4c575aa742e27e7120c1c3494d4d424ee5c936,616,1092,2377,numerical_error,"the interior-point iteration stalled after 35 iterations (steps 1.3e-40 / 1.3e-40); the best iterate is reported as a feasible point; engine reported feasible but the returned point violates primal feasibility by 1.124e-03 (2.354e-06 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",6902236.067484423,6902235.9995,0.06798442266881466,9.849623031397286e-09,0,,,0,0.0,0,0.030342,0.0089492,35,ipm,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
greenbea,cb701e3ba5153e385b8cb6426e34b5d23bad4b1b9c9a037802e351c24b0f653d,2392,5405,30877,optimal,"crossover push: 589 superbasic, 438 pivots in the push; crossover: 1203 pivots from the interior point's basis guess in 0.19s, after 62 interior point iterations",-72555248.12984599,-72462405.908,92842.22184598446,0.001281246746952608,0,1,,0,0.0,0,0.742035,0.6970451,1265,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
greenbeb,21f92f6a32f71ec72c8f693d6685e4a91ecb2debec732ec61302bc866f370865,2392,5405,30877,feasible,"; crossover did not reach a vertex (not_solved after 389 pivots, 0.06s), the interior point's answer stands; engine reported optimal but the reduced costs violate dual feasibility by 7.693e-09 (9.628e-06 relative to the terms they are computed from), above the 1.0e-07 tolerance; reporting a feasible point rather than a proof",-4302260.261206585,-4302147.6065,112.65470658522099,2.6185690703641598e-05,0,1,,0,0.0,0,0.528668,0.4813889,52,ipm,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
grow15,ab84e2f83d00c5bd26291e0505f23804b050bc96dc1e576d9da8f04e1f6ed51f,300,645,5620,optimal,"crossover push: 337 superbasic, 256 pivots in the push; crossover: 256 pivots from the interior point's basis guess in 0.00s, after 15 interior point iterations",-106870941.29357535,-106870941.29,0.003575339913368225,3.345474335878028e-11,1,1,,1,0.0,0,0.035623,0.0145313,271,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
grow22,671111a1623539730f4caa9366c7eda43fb472137773cd9444dc96ed87f9810e,440,946,8252,optimal,"crossover push: 569 superbasic, 435 pivots in the push; crossover: 435 pivots from the interior point's basis guess in 0.01s, after 17 interior point iterations",-160834336.48256296,-160834336.48,0.002562969923019409,1.5935464895819175e-11,1,1,,1,0.0,0,0.053424,0.0229566,452,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
grow7,6b8734ffdf991a36f17cfddf306834a4a3ced3e17964cac9fa2983a043906cd4,140,301,2612,optimal,"crossover push: 139 superbasic, 112 pivots in the push; crossover: 112 pivots from the interior point's basis guess in 0.00s, after 14 interior point iterations",-47787811.8147115,-47787811.815,0.00028849393129348755,6.036977219428426e-12,1,1,,1,0.0,0,0.026733,0.0061869,126,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,optimal,"crossover push: 30 superbasic, 17 pivots in the push; crossover: 24 pivots from the interior point's basis guess in 0.00s, after 18 interior point iterations",-896644.8218630463,-896644.82186,3.0462397262454033e-06,3.397376142680759e-12,1,1,,1,0.0,0,0.046657,0.0296266,42,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
kb2,f0eb647d1d9aac84f49d88662b6b02c6cecc04496e5435be733eced36d7f48f2,43,41,286,optimal,"crossover push: 0 superbasic, 0 pivots in the push; crossover: 0 pivots from the interior point's basis guess in 0.00s, after 19 interior point iterations",-1749.9001299062058,-1749.9001299,6.205937097547576e-09,3.5464521611883195e-12,1,1,,1,0.0,0,0.0207,0.00153,19,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
lotfi,fcb90a1b5e02b2eae67adacd0937a073d420ca92ac6af514ee13a348d7f31623,153,308,1078,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 1.1e-10 / 2.5e-01, gap 2.0e-187",814198774697.9163,-25.264706062,814198774723.1809,32226726593.41945,0,,,0,0.0,0,0.071384,0.0521815,300,ipm,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
maros,4910e97a363fca07d2fb72838fa26629329a9a8dcd6a4da186f560424bd67077,846,1443,9614,optimal,"; crossover did not reach a vertex (not_solved after 0 pivots, 0.00s), the interior point's answer stands",-58063.74370010104,-58063.743701,8.989591151475906e-07,1.548227960940294e-11,1,1,,1,0.0,0,0.09192,0.065877,24,ipm,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
maros-r7,e97f59ab32a8280526c26c210aacabd6e0c05300e67a0d4afd00b95d245f8db7,3136,9408,144848,optimal,"; crossover did not reach a vertex (not_solved after 0 pivots, 0.01s), the interior point's answer stands",1497185.1664813687,1497185.1665,1.86313409358263e-05,1.2444246278088076e-11,1,1,,1,0.0,0,7.272005,7.1231371,28,ipm,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
modszk1,af109be42aa6bd62fc307b623184c69f1030db2f8e1682c636b387a49fd8da43,687,1620,3168,optimal,"crossover push: 13 superbasic, 13 pivots in the push; crossover: 15 pivots from the interior point's basis guess in 0.00s, after 73 interior point iterations",320.61972906426325,320.61972906,4.263256414560601e-09,1.3296924762115264e-11,1,1,,1,0.0,0,0.102267,0.0801124,88,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
nesm,20b55063a879a649ef5c7a1a701f81917717b414943f58dea37a1c30495bc5ba,662,2923,13288,optimal,"crossover push: 351 superbasic, 172 pivots in the push; crossover: 177 pivots from the interior point's basis guess in 0.00s, after 61 interior point iterations",14076036.48756271,14076073.035,36.547437289729714,2.596422823244446e-06,0,1,,0,0.0,0,0.14702,0.1109365,238,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
perold,040ed4572876366cd979b6811ee20d706abba6998616b0e53201ea1e043acacd,625,1376,6018,optimal,"crossover push: 38 superbasic, 21 pivots in the push; crossover: 61 pivots from the interior point's basis guess in 0.01s, after 88 interior point iterations",-9380.755278235161,-9380.7580773,0.0027990648395643802,2.983836505002393e-07,1,1,,1,0.0,0,0.216068,0.191699,149,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
pilot,26916951225f695c68c474adb2e1e052e4c1b3479d6a11fbd579fd20d4e7d2eb,1441,3652,43167,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 9.4e-17 / 3.5e-08, gap 2.6e-38",-557.4896816689417,-557.40430007,0.08538159894169439,0.0001531771443653592,0,,,0,0.0,0,8.949702,8.894165,300,ipm,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
pilot4,67e872aae722a493f5c2c8f88e3d70d093eea116093874ea43852c864a687cba,410,1000,5141,optimal,"crossover push: 45 superbasic, 14 pivots in the push; crossover: 24 pivots from the interior point's basis guess in 0.01s, after 72 interior point iterations",-2581.1392588838885,-2581.1392641,5.216111730987905e-06,2.020856372818254e-09,1,1,,1,0.0,0,0.121729,0.1014783,96,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
pilot87,0ecfcc173d82c8a0252f58a99b2a529d8ad0155ee9212b8451cc25c0e387caa4,2030,4883,73152,feasible,"; crossover did not reach a vertex (not_solved after 0 pivots, 0.07s), the interior point's answer stands; engine reported optimal but the reduced costs violate dual feasibility by 1.017e-07 (1.017e-07 relative to the terms they are computed from), above the 1.0e-07 tolerance; reporting a feasible point rather than a proof",301.71039832718037,301.71072827,0.00032994281963283356,1.0935733758117105e-06,0,1,,0,0.0,0,24.352076,24.2617253,235,ipm,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
pilotnov,2b000b6da9fb539e3303d5b81f00cc74f430e7ed52d7666ff1ef835bf060773d,975,2172,13057,optimal,"; crossover did not reach a vertex (not_solved after 0 pivots, 0.00s), the interior point's answer stands",-4497.276188216017,-4497.2761882,1.6016201698221266e-08,3.561311564596531e-12,1,1,,1,0.0,0,0.126952,0.0959578,19,ipm,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
recipe,277b34645cc89526db4a3365fa781ce28aa9768a65c4f301416a8a05c934af61,91,180,663,optimal,"crossover push: 78 superbasic, 58 pivots in the push; crossover: 62 pivots from the interior point's basis guess in 0.00s, after 10 interior point iterations",-266.61600000000027,-266.616,2.8421709430404007e-13,1.0660166468030429e-15,1,1,,1,0.0,0,0.021981,0.0017404,72,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,optimal,"crossover push: 9 superbasic, 9 pivots in the push; crossover: 15 pivots from the interior point's basis guess in 0.00s, after 16 interior point iterations",-52.20206121170724,-52.202061212,2.927578179878765e-10,5.608165869139637e-12,1,1,,1,0.0,0,0.020013,0.0018386,31,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
sc205,bcecc8d8cafd08c6d97cf8e39a740f5d777e317600bb9f6f158f2ceb550005f9,205,203,551,optimal,"crossover push: 11 superbasic, 9 pivots in the push; crossover: 15 pivots from the interior point's basis guess in 0.00s, after 21 interior point iterations",-52.20206121170724,-52.202061212,2.927578179878765e-10,5.608165869139637e-12,1,1,,1,0.0,0,0.020432,0.0031211,36,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,optimal,"crossover push: 2 superbasic, 2 pivots in the push; crossover: 4 pivots from the interior point's basis guess in 0.00s, after 12 interior point iterations",-64.5750770585645,-64.575077059,4.354916427473654e-10,6.743958545329677e-12,1,1,,1,0.0,0,0.018101,0.0009219,16,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,optimal,"crossover push: 0 superbasic, 0 pivots in the push; crossover: 0 pivots from the interior point's basis guess in 0.00s, after 13 interior point iterations",-69.99999999999999,-70.0,1.4210854715202004e-14,2.0301221021717148e-16,1,1,,1,0.0,0,0.017761,0.0010373,13,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
scagr25,7bac79b91dec46966af26a236d593c823f1e61eb055597426365e4f6bc36df76,471,500,1554,optimal,"crossover push: 20 superbasic, 20 pivots in the push; crossover: 28 pivots from the interior point's basis guess in 0.00s, after 31 interior point iterations",-14753433.06076853,-14753433.061,0.00023147091269493103,1.568929155254131e-11,1,1,,1,0.0,0,0.028006,0.006854,59,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
